Metabolite_Name	Mets_HumanGEM	ExRxns_HumanGEM	Mets_Recon3D	ExRxns_Recon3D	Concentration_M
trans-4-hydroxy-L-proline	MAM03037e	MAR08386	4hpro_LT[e]	EX_4hpro[e]	0.00015252
cystine	MAM01629e	MAR09363	Lcystin[e]	EX_Lcystin[e]	0.000207522
aquacob(III)alamin	MAM01361e	MAR09269	aqcobal[e]	EX_aqcobal[e]	3.68903e-09
arginine	MAM01365e	MAR09066	arg_L[e]	EX_arg_L[e]	0.00114811
asparagine	MAM01369e	MAR09062	asn_L[e]	EX_asn_L[e]	0.000378444
aspartate	MAM01370e	MAR09070	asp_L[e]	EX_asp_L[e]	0.000150252
biotin	MAM01401e	MAR09109	btn[e]	EX_btn[e]	8.18632e-07
Ca2+	MAM01413e	MAR09082	ca2[e]	EX_ca2[e]	0.000423984
choline	MAM01513e	MAR09083	chol[e]	EX_chol[e]	2.14869e-05
chloride	MAM01442e	MAR09150	cl[e]	EX_cl[e]	0.108772
folate	MAM01830e	MAR09146	fol[e]	EX_fol[e]	2.26552e-06
glucose	MAM01965e	MAR09034	glc_D[e]	EX_glc_D[e]	0.0111012
glutamine	MAM01975e	MAR09063	gln_L[e]	EX_gln_L[e]	0.00205283
glutamate	MAM01974e	MAR09071	glu_L[e]	EX_glu_L[e]	0.000135934
glycine	MAM01986e	MAR09067	gly[e]	EX_gly[e]	0.000133209
GSH	MAM02026e	MAR09351	gthrd[e]	EX_gthrd[e]	3.25394e-06
HCO3-	MAM02046e	MAR09078	hco3[e]	EX_hco3[e]	0.0238067
histidine	MAM02125e	MAR09038	his_L[e]	EX_his_L[e]	9.66806e-05
isoleucine	MAM02184e	MAR09039	ile_L[e]	EX_ile_L[e]	0.000381185
inositol	MAM02171e	MAR09361	inost[e]	EX_inost[e]	0.000194272
K+	MAM02200e	MAR09081	k[e]	EX_k[e]	0.00536553
leucine	MAM02360e	MAR09040	leu_L[e]	EX_leu_L[e]	0.000381185
lysine	MAM02426e	MAR09041	lys_L[e]	EX_lys_L[e]	0.000218998
methionine	MAM02471e	MAR09042	met_L[e]	EX_met_L[e]	0.000100529
Na+	MAM02519e	MAR09077	na1[e]	EX_na1[e]	0.138053
nicotinamide	MAM02583e	MAR09378	ncam[e]	EX_ncam[e]	8.18867e-06
phenylalanine	MAM02724e	MAR09043	phe_L[e]	EX_phe_L[e]	9.08045e-05
Pi	MAM02751e	MAR09072	pi[e]	EX_pi[e]	0.00563539
pantothenate	MAM02680e	MAR09145	pnto_R[e]	EX_pnto_R[e]	1.04923e-06
proline	MAM02770e	MAR09068	pro_L[e]	EX_pro_L[e]	0.000173717
pyridoxine	MAM02817e	MAR09144	pydxn[e]	EX_pydxn[e]	4.86287e-06
riboflavin	MAM02842e	MAR09143	ribflv[e]	EX_ribflv[e]	5.31406e-07
serine	MAM02896e	MAR09069	ser_L[e]	EX_ser_L[e]	0.00028547
sulfate	MAM02946e	MAR09074	so4[e]	EX_so4[e]	0.000405783
thiamin	MAM02982e	MAR09159	thm[e]	EX_thm[e]	2.96507e-06
threonine	MAM02993e	MAR09044	thr_L[e]	EX_thr_L[e]	0.000167898
tryptophan	MAM03089e	MAR09045	trp_L[e]	EX_trp_L[e]	2.44822e-05
tyrosine	MAM03101e	MAR09064	tyr_L[e]	EX_tyr_L[e]	0.00011103
valine	MAM03135e	MAR09046	val_L[e]	EX_val_L[e]	0.000170721
